customer_id,company_name,industry,company_size,country_code,country_name,timezone,contact_email,signup_date,is_active,churned_at,churn_reason,nps_score,is_churned,plan_tier,plan_name,mrr_usd,status,start_date,end_date,billing_cycle,cancellation_reason,ticket_count,avg_satisfaction,escalated_count,total_events,days_active,feature_count,avg_session_sec,engagement_score,member_count,high_ticket,ticket_bucket,segment_label,ticket_bucket_sort
11,Xenon Cloud,E-commerce,small,GB,United Kingdom,Europe/London,andrew.garcia@outlook.com,2024-06-29,1,0,Not Churned,7.0,0,starter,Starter,7.5,active,2024-06-29,0,annual,Not Cancelled,0,0.0,0,44,1,1,1780.6944444444443,0.729,43,0,0 tickets,Stable Paid,1
12,QuarkDev,Manufacturing,small,JP,Japan,Asia/Tokyo,priya.patel@startup.co,2024-10-27,1,0,Not Churned,7.0,0,enterprise,Enterprise,99.0,active,2024-10-27,0,monthly,Not Cancelled,0,0.0,0,46,1,1,1484.9142857142858,0.7261,44,0,0 tickets,Stable Paid,1
13,Vertex Labs,Real Estate,medium,GB,United Kingdom,Europe/London,emily.anderson@gmail.com,2025-07-16,0,2025-09-16 01:57:15,Switched to competitor,1.0,1,free,Free,0.0,cancelled,2025-07-16,2025-09-16,monthly,Switched competitor,1,3.0,0,33,1,1,1699.0384615384614,0.7295,33,0,1 ticket,Churned — Low Engagement,2
14,Keen Ventures,Consulting,small,CA,Canada,America/Toronto,hassan.clark@startup.co,2024-02-25,1,0,Not Churned,7.0,0,enterprise,Enterprise,74.25,active,2025-05-17,0,annual,Not Cancelled,0,0.0,0,43,2,2,1716.030303030303,0.7032,42,0,0 tickets,Stable Paid,1
15,DataLogic,Insurance,enterprise,US,United States,America/Chicago,jessica.gonzalez@startup.co,2024-04-18,1,0,Not Churned,7.0,0,starter,Starter,12.0,active,2024-04-18,0,monthly,Not Cancelled,0,0.0,0,41,2,2,2020.5294117647056,0.7272,38,0,0 tickets,Stable Paid,1
16,Iris Labs,Healthcare,enterprise,GB,United Kingdom,Europe/London,william.clark@startup.co,2023-06-18,1,0,Not Churned,7.0,0,starter,Starter,10.0,active,2023-06-18,0,annual,Not Cancelled,0,0.0,0,51,2,2,1936.4,0.7146,49,0,0 tickets,Stable Paid,1
17,DriftCloud,Legal,enterprise,JP,Japan,Asia/Tokyo,wei.rivera@hotmail.com,2024-08-16,1,0,Not Churned,6.0,0,starter,Starter,9.6,active,2025-04-02,0,monthly,Not Cancelled,0,0.0,0,42,1,1,1479.4333333333334,0.6775,42,0,0 tickets,Stable Paid,1
18,LinkIO,Retail,medium,US,United States,America/Los_Angeles,patricia.allen@linkio.com,2025-06-01,1,0,Not Churned,10.0,0,professional,Professional,39.0,active,2025-06-01,0,monthly,Not Cancelled,1,0.0,0,48,1,1,2011.7105263157891,0.7226,46,0,1 ticket,Stable Paid,2
19,Flow Corp,Logistics,medium,BR,Brazil,America/Sao_Paulo,dorothy.lee@company.io,2024-02-10,0,2025-07-25 09:00:24,Poor support experience,8.0,1,professional,Professional,32.5,cancelled,2025-01-26,2025-07-25,annual,Not Cancelled,0,0.0,0,38,1,1,2124.5806451612902,0.7184,37,0,0 tickets,Churned — Low Engagement,1
20,AcmeHQ,Real Estate,small,US,United States,America/Chicago,paul.wilson@company.io,2025-06-19,1,0,Not Churned,7.0,0,enterprise,Enterprise,82.5,active,2025-06-19,0,annual,Not Cancelled,0,0.0,0,38,1,1,1746.0689655172414,0.7253,38,0,0 tickets,Stable Paid,1
21,NexusStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,karen.nelson@nexusstack.com,2023-04-20,1,0,Not Churned,6.0,0,professional,Professional,39.0,active,2023-04-20,0,monthly,Not Cancelled,0,0.0,0,44,1,1,1710.2941176470588,0.7122,44,0,0 tickets,Stable Paid,1
22,Onyx Analytics,Media,medium,DE,Germany,Europe/Berlin,ana.brown@onyxanalytics.com,2023-12-08,1,0,Not Churned,7.0,0,professional,Professional Plus,49.17,active,2023-12-08,0,annual,Not Cancelled,0,0.0,0,42,2,2,1984.75,0.7284,41,0,0 tickets,Stable Paid,1
23,KitePro,Legal,medium,JP,Japan,Asia/Tokyo,james.davis@yahoo.com,2025-05-04,1,0,Not Churned,7.0,0,starter,Starter Plus,15.83,active,2025-11-10,0,annual,Not Cancelled,1,0.0,0,46,1,1,1878.0,0.729,44,0,1 ticket,Stable Paid,2
24,TidalStudio,Insurance,enterprise,US,United States,America/New_York,daniel.wilson@company.io,2025-06-24,1,0,Not Churned,7.0,0,starter,Starter Plus,15.83,active,2025-06-24,0,annual,Not Cancelled,1,5.0,0,32,1,1,1961.9333333333332,0.7161,32,0,1 ticket,Stable Paid,2
25,PulseSolutions,Insurance,small,AU,Australia,Australia/Sydney,mary.lopez@startup.co,2025-06-03,1,0,Not Churned,4.0,0,free,Free,0.0,active,2025-06-03,0,monthly,Not Cancelled,0,0.0,0,39,1,1,1587.40625,0.7224,38,0,0 tickets,Upsell Candidates,1
26,YieldAI,E-commerce,small,CA,Canada,America/Toronto,daniel.martin@yieldai.com,2023-07-17,1,0,Not Churned,2.0,0,enterprise,Enterprise,99.0,active,2023-12-01,0,monthly,Not Cancelled,0,0.0,0,40,1,1,1916.4,0.7258,40,0,0 tickets,Stable Paid,1
27,WaveStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,lisa.johnson@yahoo.com,2023-09-29,0,2025-02-03 08:53:39,Budget cuts,6.0,1,professional,Professional,32.5,cancelled,2024-09-22,2025-02-03,annual,Switched competitor,0,0.0,0,44,1,1,1694.8181818181818,0.7293,43,0,0 tickets,Churned — Low Engagement,1
28,Keen Software,Education,small,FR,France,Europe/Paris,margaret.smith@hotmail.com,2023-03-13,1,0,Not Churned,7.0,0,starter,Starter Plus,19.0,active,2024-01-12,0,monthly,Not Cancelled,0,0.0,0,40,1,1,1699.1842105263158,0.7265,39,0,0 tickets,Stable Paid,1
29,QuestSystems,Education,medium,DE,Germany,Europe/Berlin,wei.clark@questsystems.com,2024-03-06,1,0,Not Churned,9.0,0,professional,Professional Plus,49.17,active,2025-06-05,0,annual,Not Cancelled,0,0.0,0,42,1,1,1477.1764705882354,0.7299,41,0,0 tickets,Stable Paid,1
30,NexusVentures,Media,enterprise,US,United States,America/New_York,karen.jackson@corp.net,2024-04-21,1,0,Not Churned,7.0,0,starter,Starter,12.0,active,2024-04-21,0,monthly,Not Cancelled,0,0.0,0,29,1,1,2107.5,0.726,29,0,0 tickets,Stable Paid,1
31,VineSolutions,Education,medium,SG,Singapore,Asia/Singapore,aisha.flores@hotmail.com,2023-08-19,1,0,Not Churned,2.0,0,professional,Professional,39.0,active,2023-08-19,0,monthly,Not Cancelled,0,0.0,0,47,1,1,1706.030303030303,0.7271,43,0,0 tickets,Stable Paid,1
32,Arc Stack,Real Estate,small,FR,France,Europe/Paris,carlos.harris@gmail.com,2025-05-31,1,0,Not Churned,7.0,0,starter,Starter Plus,15.83,active,2025-05-31,0,annual,Not Cancelled,0,0.0,0,26,1,1,1652.5238095238096,0.7061,26,0,0 tickets,Stable Paid,1
33,SageDev,Media,small,US,United States,America/Chicago,sandra.rodriguez@tech.dev,2025-08-30,1,0,Not Churned,9.0,0,professional,Professional Plus,59.0,active,2025-08-30,0,monthly,Not Cancelled,2,0.0,0,35,1,1,1660.44,0.7234,32,0,2-3 tickets,Stable Paid,3
34,JadeHQ,Legal,enterprise,CA,Canada,America/Toronto,mark.taylor@protonmail.com,2024-06-17,1,0,Not Churned,7.0,0,professional,Professional,33.15,active,2025-02-04,0,monthly,Not Cancelled,0,0.0,0,39,1,1,1635.3030303030305,0.7243,39,0,0 tickets,Stable Paid,1
35,PulseAnalytics,Telecommunications,medium,US,United States,America/Chicago,david.martinez@pulseanalytics.com,2024-02-22,1,0,Not Churned,2.0,0,starter,Starter,10.0,active,2024-02-22,0,annual,Not Cancelled,0,0.0,0,33,1,1,1880.6666666666667,0.6969,32,0,0 tickets,Stable Paid,1
36,YieldHub,Legal,small,BR,Brazil,America/Sao_Paulo,matthew.walker@startup.co,2025-09-03,1,0,Not Churned,9.0,0,professional,Professional Plus,59.0,active,2025-09-03,0,monthly,Not Cancelled,2,5.0,0,43,1,1,1683.3333333333333,0.7208,41,0,2-3 tickets,Stable Paid,3
37,Flux Labs,Manufacturing,small,SG,Singapore,Asia/Singapore,fatima.tanaka@enterprise.com,2025-10-01,1,0,Not Churned,7.0,0,professional,Professional,39.0,active,2025-12-01,0,monthly,Not Cancelled,3,3.0,0,42,1,1,1734.0645161290322,0.72,42,0,2-3 tickets,Stable Paid,3
38,FlowStack,Retail,medium,US,United States,America/Los_Angeles,patricia.taylor@company.io,2025-06-19,1,0,Not Churned,7.0,0,enterprise,Enterprise,82.5,active,2025-09-16,0,annual,Not Cancelled,0,0.0,0,48,1,1,1738.2702702702702,0.7297,46,0,0 tickets,Stable Paid,1
39,QuarkTech,Legal,medium,US,United States,America/New_York,daniel.anderson@gmail.com,2025-08-30,1,0,Not Churned,7.0,0,free,Free,0.0,active,2025-08-30,0,monthly,Not Cancelled,1,0.0,0,45,1,1,1700.2333333333331,0.7232,41,0,1 ticket,Upsell Candidates,2
40,PulseDigital,Healthcare,medium,GB,United Kingdom,Europe/London,sandra.hall@corp.net,2025-02-04,1,0,Not Churned,7.0,0,starter,Starter,10.0,active,2025-02-04,0,annual,Not Cancelled,0,0.0,0,33,1,1,1997.7916666666667,0.7239,32,0,0 tickets,Stable Paid,1
41,TidalSystems,Telecommunications,small,BR,Brazil,America/Sao_Paulo,fatima.harris@outlook.com,2025-04-30,1,0,Not Churned,9.0,0,starter,Starter,12.0,active,2025-04-30,0,monthly,Not Cancelled,0,0.0,0,38,1,1,1826.59375,0.7127,38,0,0 tickets,Stable Paid,1
42,KeenAI,Manufacturing,large,IN,India,Asia/Kolkata,robert.allen+nimbus@keenai.com,2025-09-10,1,0,Not Churned,7.0,0,professional,Professional Plus,49.17,active,2025-09-10,0,annual,Not Cancelled,3,0.0,1,29,1,1,1585.64,0.7113,29,0,2-3 tickets,Stable Paid,3
43,TrekDigital,Legal,medium,SG,Singapore,Asia/Singapore,sarah.flores@enterprise.com,2025-04-25,1,0,Not Churned,9.0,0,free,Free,0.0,active,2025-10-28,0,monthly,Not Cancelled,0,0.0,0,43,1,1,1509.8709677419354,0.7115,39,0,0 tickets,Upsell Candidates,1
44,Drift Ventures,Real Estate,large,AU,Australia,Australia/Sydney,lisa.johnson@enterprise.com,2025-03-27,1,0,Not Churned,8.0,0,free,Free,0.0,active,2025-10-06,0,monthly,Not Cancelled,0,0.0,0,42,1,1,1689.571428571429,0.7137,41,0,0 tickets,Upsell Candidates,1
45,JadeLabs,E-commerce,small,GB,United Kingdom,Europe/London,olga.clark@enterprise.com,2024-05-17,1,0,Not Churned,6.0,0,free,Free,0.0,active,2024-05-17,0,monthly,Not Cancelled,0,0.0,0,50,1,1,1659.7179487179487,0.7207,49,0,0 tickets,Upsell Candidates,1
46,SagePlatform,Real Estate,small,CA,Canada,America/Toronto,kimberly.king@tech.dev,2024-12-20,1,0,Not Churned,5.0,0,free,Free,0.0,active,2024-12-20,0,annual,Not Cancelled,0,0.0,0,41,1,1,1647.6666666666667,0.7164,38,0,0 tickets,Upsell Candidates,1
47,UltraSystems,Insurance,large,US,United States,America/Los_Angeles,richard.wilson@corp.net,2024-06-21,1,0,Not Churned,7.0,0,starter,Starter Plus,19.0,active,2025-02-18,0,monthly,Not Cancelled,0,0.0,0,29,1,1,1855.2857142857144,0.7208,28,0,0 tickets,Stable Paid,1
48,SyncPlatform,Education,small,FR,France,Europe/Paris,paul.rodriguez@tech.dev,2025-08-24,0,2025-10-29 13:03:59,Not enough users,0.0,1,enterprise,Enterprise,70.12,cancelled,2025-12-28,0,annual,Missing features,0,0.0,0,43,1,1,1719.774193548387,0.7146,40,0,0 tickets,Churned — Low Engagement,1
49,EchoIO,Finance,small,DE,Germany,Europe/Berlin,kenji.walker@echoio.com,2024-10-06,1,0,Not Churned,9.0,0,free,Free,0.0,active,2024-10-06,0,monthly,Not Cancelled,2,3.0,0,40,1,1,1939.9666666666667,0.7196,39,0,2-3 tickets,Upsell Candidates,3
50,Warp Corp,Real Estate,medium,BR,Brazil,America/Sao_Paulo,joseph.singh@enterprise.com,2024-08-25,1,0,Not Churned,8.0,0,free,Free,0.0,active,2025-04-03,0,annual,Not Cancelled,0,0.0,0,45,1,1,1787.5833333333333,0.7188,43,0,0 tickets,Upsell Candidates,1
51,WarpSoftware,Education,large,US,United States,America/Chicago,william.thomas@gmail.com,2024-12-06,1,0,Not Churned,5.0,0,starter,Starter Plus,15.83,active,2024-12-06,0,annual,Not Cancelled,0,0.0,0,51,1,1,1895.4318181818185,0.7296,51,0,0 tickets,Stable Paid,1
52,Orbit Analytics,Insurance,enterprise,SG,Singapore,Asia/Singapore,emily.nelson@outlook.com,2024-10-25,0,2025-03-07 03:52:26,No longer needed,0.0,1,free,Free,0.0,cancelled,2024-10-25,2025-03-07,annual,Missing features,1,0.0,0,42,2,2,1928.2857142857144,0.7168,38,0,1 ticket,Churned — Low Engagement,2
53,MistPro,Telecommunications,small,CA,Canada,America/Toronto,linda.robinson@protonmail.com,2024-05-20,1,0,Not Churned,10.0,0,free,Free,0.0,active,2024-12-20,0,annual,Not Cancelled,0,0.0,0,45,1,1,1789.7714285714285,0.7256,43,0,0 tickets,Upsell Candidates,1
54,Orbit Ops,Retail,enterprise,BR,Brazil,America/Sao_Paulo,emily.johnson@protonmail.com,2025-02-20,1,0,Not Churned,8.0,0,free,Free,0.0,active,2025-02-20,0,monthly,Not Cancelled,0,0.0,0,39,1,1,1603.0,0.7285,38,0,0 tickets,Upsell Candidates,1
55,LunaVentures,Retail,medium,US,United States,America/Chicago,donald.thompson@outlook.com,2023-12-04,1,0,Not Churned,8.0,0,professional,Professional,31.2,active,2024-05-31,0,monthly,Not Cancelled,0,0.0,0,38,1,1,2047.5185185185185,0.7102,36,0,0 tickets,Stable Paid,1
56,Flow Works,Education,small,US,United States,America/Chicago,lars.sanchez@gmail.com,2024-07-09,1,0,Not Churned,7.0,0,professional,Professional Plus,59.0,active,2025-03-08,0,monthly,Not Cancelled,2,4.0,0,30,1,1,1541.32,0.71,30,0,2-3 tickets,Stable Paid,3
57,OnyxHQ,E-commerce,small,JP,Japan,Asia/Tokyo,david.jackson@onyxhq.com,2024-10-07,1,0,Not Churned,4.0,0,professional,Professional,32.5,active,2024-10-07,0,annual,Not Cancelled,0,0.0,0,45,1,1,1829.6969696969695,0.7273,41,0,0 tickets,Stable Paid,1
58,Hub HQ,Healthcare,large,US,United States,America/Los_Angeles,ashley.rivera@startup.co,2025-09-30,1,0,Not Churned,4.0,0,starter,Starter Plus,19.0,active,2025-09-30,0,monthly,Not Cancelled,2,3.0,1,36,1,1,1835.6296296296296,0.7166,35,0,2-3 tickets,Stable Paid,3
59,MistDev,Finance,enterprise,US,United States,America/Chicago,sarah.singh@tech.dev,2023-01-03,1,0,Not Churned,8.0,0,starter,Starter,12.0,active,2023-01-03,0,monthly,Not Cancelled,0,0.0,0,44,1,1,1977.4193548387095,0.7217,42,0,0 tickets,Stable Paid,1
60,JetHQ,Marketing,small,JP,Japan,Asia/Tokyo,priya.wright@hotmail.com,2023-09-02,1,0,Not Churned,9.0,0,professional,Professional Plus,59.0,active,2024-08-08,0,monthly,Not Cancelled,0,0.0,0,42,1,1,1802.3030303030305,0.7287,40,0,0 tickets,Stable Paid,1
61,UltraPro,Telecommunications,enterprise,AU,Australia,Australia/Sydney,matthew.nelson@yahoo.com,2023-02-07,0,2025-09-10 19:31:16,Company closed,7.0,1,free,Free,0.0,cancelled,2023-02-07,2025-09-10,monthly,Switched competitor,0,0.0,0,50,2,2,1762.809523809524,0.7165,48,0,0 tickets,Churned — Low Engagement,1
62,GridDev,Technology,large,US,United States,America/Los_Angeles,anthony.adams@protonmail.com,2024-12-10,1,0,Not Churned,6.0,0,starter,Starter Plus,16.15,active,2025-08-24,0,monthly,Not Cancelled,1,3.0,0,36,1,1,1765.892857142857,0.7239,36,0,1 ticket,Stable Paid,2
63,UltraStack,Insurance,medium,JP,Japan,Asia/Tokyo,john.flores@protonmail.com,2025-02-03,0,2025-04-12 05:33:23,Not Churned,7.0,1,professional,Professional,39.0,cancelled,2025-06-29,0,monthly,Switched competitor,0,0.0,0,51,2,2,1703.6363636363635,0.7211,50,0,0 tickets,Churned — Low Engagement,1
64,CoreSolutions,Telecommunications,small,US,United States,America/New_York,charles.muller@coresolutions.com,2024-06-27,1,0,Not Churned,7.0,0,starter,Starter,10.0,active,2024-06-27,0,annual,Not Cancelled,0,0.0,0,46,1,1,1788.0,0.7284,46,0,0 tickets,Stable Paid,1
65,Yield Group,Logistics,small,CA,Canada,America/Toronto,emily.martinez@enterprise.com,2023-01-10,1,0,Not Churned,6.0,0,free,Free,0.0,active,2023-01-10,0,annual,Not Cancelled,0,0.0,0,41,1,1,1883.6571428571428,0.7262,40,0,0 tickets,Upsell Candidates,1
66,EdgeHQ,Real Estate,small,SG,Singapore,Asia/Singapore,margaret.hall@hotmail.com,2025-05-23,1,0,Not Churned,8.0,0,free,Free,0.0,active,2025-05-23,0,monthly,Not Cancelled,0,0.0,0,50,1,1,1728.4545454545455,0.7177,50,0,0 tickets,Upsell Candidates,1
67,Quest Logic,Education,small,BR,Brazil,America/Sao_Paulo,kenji.baker@corp.net,2025-05-02,1,0,Not Churned,9.0,0,free,Free,0.0,active,2025-05-02,0,monthly,Not Cancelled,1,1.0,0,49,2,2,1683.078947368421,0.722,47,0,1 ticket,Upsell Candidates,2
68,Quark Ops,Insurance,large,SG,Singapore,Asia/Singapore,fatima.santos@gmail.com,2024-03-27,0,2025-02-03 09:30:22,Not Churned,8.0,1,enterprise,Enterprise,82.5,cancelled,2024-03-27,2025-02-03,annual,Budget cuts,0,0.0,0,43,1,1,2042.3030303030305,0.7263,43,0,0 tickets,Churned — Low Engagement,1
69,Ion Dynamics,Telecommunications,small,JP,Japan,Asia/Tokyo,steven.moore@enterprise.com,2023-10-30,1,0,Not Churned,3.0,0,free,Free,0.0,active,2023-10-30,0,annual,Not Cancelled,0,0.0,0,44,1,1,2000.055555555556,0.7217,42,0,0 tickets,Upsell Candidates,1
70,JetHub,Retail,large,FR,France,Europe/Paris,fatima.sanchez@jethub.com,2024-02-09,0,2025-04-30 18:25:58,Switched to competitor,5.0,1,professional,Professional,39.0,cancelled,2024-12-20,2025-04-30,monthly,Company reorganization,0,0.0,0,44,1,1,1673.2058823529412,0.7268,42,0,0 tickets,Churned — Low Engagement,1
71,LinkLogic,Marketing,small,SG,Singapore,Asia/Singapore,joseph.walker@tech.dev,2024-09-16,1,0,Not Churned,9.0,0,enterprise,Enterprise Custom,199.0,active,2025-08-02,0,monthly,Not Cancelled,0,0.0,0,35,1,1,1944.5172413793105,0.7288,34,0,0 tickets,Champions,1
72,Cloud AI,Education,medium,US,United States,America/Chicago,michael.thomas@enterprise.com,2025-08-30,1,0,Not Churned,7.0,0,starter,Starter,12.0,active,2025-10-30,0,monthly,Not Cancelled,4,4.0,0,46,1,1,2031.4358974358972,0.7235,45,1,4-6 tickets,At-Risk Paid,4
73,LinkPro,Telecommunications,medium,SG,Singapore,Asia/Singapore,michael.santos@linkpro.com,2024-01-15,1,0,Not Churned,5.0,0,starter,Starter,9.6,active,2024-01-15,0,monthly,Not Cancelled,0,0.0,0,37,1,1,1647.2857142857142,0.7274,36,0,0 tickets,Stable Paid,1
74,GridOps,Telecommunications,large,IN,India,Asia/Kolkata,patricia.sanchez@gridops.com,2023-08-06,1,0,Not Churned,1.0,0,starter,Starter Plus,15.83,active,2023-08-06,0,annual,Not Cancelled,0,0.0,0,44,1,1,2054.948717948718,0.7252,42,0,0 tickets,Stable Paid,1
75,NovaTech,Media,small,BR,Brazil,America/Sao_Paulo,susan.ivanov@yahoo.com,2024-09-02,0,2025-01-22 09:10:45,No longer needed,6.0,1,free,Free,0.0,cancelled,2024-09-02,2025-01-22,monthly,Missing features,2,3.0,0,30,1,1,1552.3,0.728,30,0,2-3 tickets,Churned — Low Engagement,3
76,Wave Platform,Real Estate,small,US,United States,America/New_York,barbara.taylor@waveplatform.com,2023-03-07,1,0,Not Churned,7.0,0,starter,Starter,10.0,active,2023-10-21,0,annual,Not Cancelled,0,0.0,0,35,1,1,2029.96,0.7297,35,0,0 tickets,Stable Paid,1
77,Nexus AI,Legal,enterprise,SG,Singapore,Asia/Singapore,dorothy.martin@gmail.com,2025-05-17,1,0,Not Churned,7.0,0,professional,Professional,39.0,active,2025-08-02,0,monthly,Not Cancelled,0,0.0,0,46,2,1,2146.757575757576,0.7288,43,0,0 tickets,Stable Paid,1
78,Rush Group,Logistics,medium,JP,Japan,Asia/Tokyo,yuki.lee@protonmail.com,2024-09-11,1,0,Not Churned,7.0,0,professional,Professional Plus,59.0,active,2024-09-11,0,monthly,Not Cancelled,0,0.0,0,41,1,1,1885.0294117647056,0.7048,41,0,0 tickets,Stable Paid,1
79,PeakStack,Media,large,GB,United Kingdom,Europe/London,margaret.lewis@enterprise.com,2025-01-17,0,2025-07-31 17:43:43,Company closed,7.0,1,professional,Professional,32.5,cancelled,2025-01-17,2025-07-31,annual,Company reorganization,0,0.0,0,41,1,1,1821.25,0.7183,41,0,0 tickets,Churned — Low Engagement,1
80,JetOps,Healthcare,small,US,United States,America/Chicago,jennifer.ramirez@yahoo.com,2024-08-23,1,0,Not Churned,8.0,0,professional,Professional Plus,59.0,active,2024-08-23,0,monthly,Not Cancelled,1,0.0,0,60,2,2,1971.090909090909,0.724,56,0,1 ticket,Stable Paid,2
81,WaveOps,Manufacturing,enterprise,FR,France,Europe/Paris,patricia.jackson@corp.net,2023-06-08,1,0,Not Churned,3.0,0,professional,Professional Plus,47.2,active,2023-12-15,0,monthly,Not Cancelled,0,0.0,0,43,1,1,1715.060606060606,0.6967,42,0,0 tickets,Stable Paid,1
82,Orbit Corp,Retail,medium,BR,Brazil,America/Sao_Paulo,donna.baker+test@orbitcorp.com,2023-10-07,1,0,Not Churned,6.0,0,professional,Professional,39.0,active,2023-10-07,0,monthly,Not Cancelled,0,0.0,0,44,1,1,1538.9714285714283,0.704,42,0,0 tickets,Stable Paid,1
83,LunaDigital,Manufacturing,small,US,United States,America/Los_Angeles,ahmed.green@tech.dev,2024-03-05,1,0,Not Churned,6.0,0,free,Free,0.0,active,2024-03-05,0,monthly,Not Cancelled,0,0.0,0,48,1,1,1796.275,0.7281,46,0,0 tickets,Upsell Candidates,1
84,ZealVentures,Telecommunications,small,US,United States,America/Los_Angeles,william.kim@protonmail.com,2024-03-10,1,0,Not Churned,6.0,0,free,Free,0.0,active,2024-03-10,0,monthly,Not Cancelled,1,0.0,0,37,1,1,2049.6666666666665,0.7279,36,0,1 ticket,Upsell Candidates,2
85,Rift Ops,Real Estate,medium,JP,Japan,Asia/Tokyo,wei.martin@riftops.com,2023-07-29,1,0,Not Churned,4.0,0,free,Free,0.0,active,2023-07-29,0,monthly,Not Cancelled,0,0.0,0,41,2,2,1869.04,0.723,39,0,0 tickets,Upsell Candidates,1
86,Flux Pro,Manufacturing,small,US,United States,America/Los_Angeles,matthew.wright@fluxpro.com,2025-06-01,1,0,Not Churned,7.0,0,professional,Professional,35.1,active,2025-06-01,0,monthly,Not Cancelled,2,3.0,0,50,1,1,1746.5,0.7188,50,0,2-3 tickets,Stable Paid,3
87,UltraVentures,Manufacturing,large,SG,Singapore,Asia/Singapore,anthony.jackson+nimbus@yahoo.com,2024-09-24,1,0,Not Churned,7.0,0,starter,Starter,12.0,active,2025-08-02,0,monthly,Not Cancelled,0,0.0,0,40,1,1,1549.3870967741937,0.7236,40,0,0 tickets,Stable Paid,1
88,FlowCorp,E-commerce,medium,BR,Brazil,America/Sao_Paulo,betty.king@company.io,2025-03-08,0,2025-10-22 06:02:56,Not Churned,3.0,1,free,Free,0.0,cancelled,2025-03-08,2025-10-22,annual,Not using it,0,0.0,0,23,1,1,1858.7894736842104,0.7279,23,0,0 tickets,Churned — Low Engagement,1
89,WavePro,Logistics,enterprise,US,United States,America/Los_Angeles,jessica.miller@corp.net,2025-02-16,1,0,Not Churned,9.0,0,enterprise,Enterprise,61.88,active,2025-02-16,0,annual,Not Cancelled,1,2.0,0,37,1,1,2036.5757575757573,0.7128,36,0,1 ticket,Stable Paid,2
