customer_id,company_name,industry,company_size,country_code,country_name,timezone,contact_email,signup_date,is_active,churned_at,churn_reason,nps_score,is_churned,plan_tier,plan_name,mrr_usd,status,start_date,end_date,billing_cycle,cancellation_reason,ticket_count,avg_satisfaction,escalated_count,total_events,days_active,feature_count,avg_session_sec,engagement_score,member_count,high_ticket,ticket_bucket,segment_label
11,Xenon Cloud,E-commerce,small,GB,United Kingdom,Europe/London,andrew.garcia@outlook.com,2024-06-29,True,,,7.0,False,starter,Starter,7.5,active,2024-06-29,,annual,,0,,0,44,1,1,1780.6944444444443,0.729,43,False,0 tickets,Stable Paid
12,QuarkDev,Manufacturing,small,JP,Japan,Asia/Tokyo,priya.patel@startup.co,2024-10-27,True,,,,False,enterprise,Enterprise,99.0,active,2024-10-27,,monthly,,0,,0,46,1,1,1484.9142857142858,0.7261,44,False,0 tickets,Stable Paid
13,Vertex Labs,Real Estate,medium,GB,United Kingdom,Europe/London,emily.anderson@gmail.com,2025-07-16,False,2025-09-16 01:57:15,Switched to competitor,1.0,True,free,Free,0.0,cancelled,2025-07-16,2025-09-16,monthly,Switched competitor,1,3.0,0,33,1,1,1699.0384615384614,0.7295,33,False,1 ticket,Churned — Low Engagement
14,Keen Ventures,Consulting,small,CA,Canada,America/Toronto,hassan.clark@startup.co,2024-02-25,True,,,,False,enterprise,Enterprise,74.25,active,2025-05-17,,annual,,0,,0,43,2,2,1716.030303030303,0.7032,42,False,0 tickets,Stable Paid
15,DataLogic,Insurance,enterprise,US,United States,America/Chicago,jessica.gonzalez@startup.co,2024-04-18,True,,,,False,starter,Starter,12.0,active,2024-04-18,,monthly,,0,,0,41,2,2,2020.5294117647059,0.7272,38,False,0 tickets,Stable Paid
16,Iris Labs,Healthcare,enterprise,GB,United Kingdom,Europe/London,william.clark@startup.co,2023-06-18,True,,,,False,starter,Starter,10.0,active,2023-06-18,,annual,,0,,0,51,2,2,1936.4,0.7146,49,False,0 tickets,Stable Paid
17,DriftCloud,Legal,enterprise,JP,Japan,Asia/Tokyo,wei.rivera@hotmail.com,2024-08-16,True,,,6.0,False,starter,Starter,9.6,active,2025-04-02,,monthly,,0,,0,42,1,1,1479.4333333333334,0.6775,42,False,0 tickets,Stable Paid
18,LinkIO,Retail,medium,US,United States,America/Los_Angeles,patricia.allen@linkio.com,2025-06-01,True,,,10.0,False,professional,Professional,39.0,active,2025-06-01,,monthly,,1,,0,48,1,1,2011.7105263157894,0.7226,46,False,1 ticket,Stable Paid
19,Flow Corp,Logistics,medium,BR,Brazil,America/Sao_Paulo,dorothy.lee@company.io,2024-02-10,False,2025-07-25 09:00:24,Poor support experience,8.0,True,professional,Professional,32.5,cancelled,2025-01-26,2025-07-25,annual,,0,,0,38,1,1,2124.5806451612902,0.7184,37,False,0 tickets,Churned — Low Engagement
20,AcmeHQ,Real Estate,small,US,United States,America/Chicago,paul.wilson@company.io,2025-06-19,True,,,7.0,False,enterprise,Enterprise,82.5,active,2025-06-19,,annual,,0,,0,38,1,1,1746.0689655172414,0.7253,38,False,0 tickets,Stable Paid
21,NexusStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,karen.nelson@nexusstack.com,2023-04-20,True,,,6.0,False,professional,Professional,39.0,active,2023-04-20,,monthly,,0,,0,44,1,1,1710.2941176470588,0.7122,44,False,0 tickets,Stable Paid
22,Onyx Analytics,Media,medium,DE,Germany,Europe/Berlin,ana.brown@onyxanalytics.com,2023-12-08,True,,,,False,professional,Professional Plus,49.17,active,2023-12-08,,annual,,0,,0,42,2,2,1984.75,0.7284,41,False,0 tickets,Stable Paid
23,KitePro,Legal,medium,JP,Japan,Asia/Tokyo,james.davis@yahoo.com,2025-05-04,True,,,7.0,False,starter,Starter Plus,15.83,active,2025-11-10,,annual,,1,,0,46,1,1,1878.0,0.729,44,False,1 ticket,Stable Paid
24,TidalStudio,Insurance,enterprise,US,United States,America/New_York,daniel.wilson@company.io,2025-06-24,True,,,,False,starter,Starter Plus,15.83,active,2025-06-24,,annual,,1,5.0,0,32,1,1,1961.9333333333334,0.7161,32,False,1 ticket,Stable Paid
25,PulseSolutions,Insurance,small,AU,Australia,Australia/Sydney,mary.lopez@startup.co,2025-06-03,True,,,4.0,False,free,Free,0.0,active,2025-06-03,,monthly,,0,,0,39,1,1,1587.40625,0.7224,38,False,0 tickets,Upsell Candidates
26,YieldAI,E-commerce,small,CA,Canada,America/Toronto,daniel.martin@yieldai.com,2023-07-17,True,,,2.0,False,enterprise,Enterprise,99.0,active,2023-12-01,,monthly,,0,,0,40,1,1,1916.4,0.7258,40,False,0 tickets,Stable Paid
27,WaveStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,lisa.johnson@yahoo.com,2023-09-29,False,2025-02-03 08:53:39,Budget cuts,6.0,True,professional,Professional,32.5,cancelled,2024-09-22,2025-02-03,annual,Switched competitor,0,,0,44,1,1,1694.8181818181818,0.7293,43,False,0 tickets,Churned — Low Engagement
28,Keen Software,Education,small,FR,France,Europe/Paris,margaret.smith@hotmail.com,2023-03-13,True,,,,False,starter,Starter Plus,19.0,active,2024-01-12,,monthly,,0,,0,40,1,1,1699.1842105263158,0.7265,39,False,0 tickets,Stable Paid
29,QuestSystems,Education,medium,DE,Germany,Europe/Berlin,wei.clark@questsystems.com,2024-03-06,True,,,9.0,False,professional,Professional Plus,49.17,active,2025-06-05,,annual,,0,,0,42,1,1,1477.1764705882354,0.7299,41,False,0 tickets,Stable Paid
30,NexusVentures,Media,enterprise,US,United States,America/New_York,karen.jackson@corp.net,2024-04-21,True,,,,False,starter,Starter,12.0,active,2024-04-21,,monthly,,0,,0,29,1,1,2107.5,0.726,29,False,0 tickets,Stable Paid
31,VineSolutions,Education,medium,SG,Singapore,Asia/Singapore,aisha.flores@hotmail.com,2023-08-19,True,,,2.0,False,professional,Professional,39.0,active,2023-08-19,,monthly,,0,,0,47,1,1,1706.030303030303,0.7271,43,False,0 tickets,Stable Paid
32,Arc Stack,Real Estate,small,FR,France,Europe/Paris,carlos.harris@gmail.com,2025-05-31,True,,,7.0,False,starter,Starter Plus,15.83,active,2025-05-31,,annual,,0,,0,26,1,1,1652.5238095238096,0.7061,26,False,0 tickets,Stable Paid
33,SageDev,Media,small,US,United States,America/Chicago,sandra.rodriguez@tech.dev,2025-08-30,True,,,9.0,False,professional,Professional Plus,59.0,active,2025-08-30,,monthly,,2,,0,35,1,1,1660.44,0.7234,32,False,2-3 tickets,Stable Paid
34,JadeHQ,Legal,enterprise,CA,Canada,America/Toronto,mark.taylor@protonmail.com,2024-06-17,True,,,7.0,False,professional,Professional,33.15,active,2025-02-04,,monthly,,0,,0,39,1,1,1635.3030303030303,0.7243,39,False,0 tickets,Stable Paid
35,PulseAnalytics,Telecommunications,medium,US,United States,America/Chicago,david.martinez@pulseanalytics.com,2024-02-22,True,,,2.0,False,starter,Starter,10.0,active,2024-02-22,,annual,,0,,0,33,1,1,1880.6666666666667,0.6969,32,False,0 tickets,Stable Paid
36,YieldHub,Legal,small,BR,Brazil,America/Sao_Paulo,matthew.walker@startup.co,2025-09-03,True,,,9.0,False,professional,Professional Plus,59.0,active,2025-09-03,,monthly,,2,5.0,0,43,1,1,1683.3333333333333,0.7208,41,False,2-3 tickets,Stable Paid
37,Flux Labs,Manufacturing,small,SG,Singapore,Asia/Singapore,fatima.tanaka@enterprise.com,2025-10-01,True,,,7.0,False,professional,Professional,39.0,active,2025-12-01,,monthly,,3,3.0,0,42,1,1,1734.0645161290322,0.72,42,False,2-3 tickets,Stable Paid
38,FlowStack,Retail,medium,US,United States,America/Los_Angeles,patricia.taylor@company.io,2025-06-19,True,,,,False,enterprise,Enterprise,82.5,active,2025-09-16,,annual,,0,,0,48,1,1,1738.2702702702702,0.7297,46,False,0 tickets,Stable Paid
39,QuarkTech,Legal,medium,US,United States,America/New_York,daniel.anderson@gmail.com,2025-08-30,True,,,,False,free,Free,0.0,active,2025-08-30,,monthly,,1,,0,45,1,1,1700.2333333333333,0.7232,41,False,1 ticket,Upsell Candidates
40,PulseDigital,Healthcare,medium,GB,United Kingdom,Europe/London,sandra.hall@corp.net,2025-02-04,True,,,,False,starter,Starter,10.0,active,2025-02-04,,annual,,0,,0,33,1,1,1997.7916666666667,0.7239,32,False,0 tickets,Stable Paid
41,TidalSystems,Telecommunications,small,BR,Brazil,America/Sao_Paulo,fatima.harris@outlook.com,2025-04-30,True,,,9.0,False,starter,Starter,12.0,active,2025-04-30,,monthly,,0,,0,38,1,1,1826.59375,0.7127,38,False,0 tickets,Stable Paid
42,KeenAI,Manufacturing,large,IN,India,Asia/Kolkata,robert.allen+nimbus@keenai.com,2025-09-10,True,,,,False,professional,Professional Plus,49.17,active,2025-09-10,,annual,,3,,1,29,1,1,1585.64,0.7113,29,False,2-3 tickets,Stable Paid
43,TrekDigital,Legal,medium,SG,Singapore,Asia/Singapore,sarah.flores@enterprise.com,2025-04-25,True,,,9.0,False,free,Free,0.0,active,2025-10-28,,monthly,,0,,0,43,1,1,1509.8709677419354,0.7115,39,False,0 tickets,Upsell Candidates
44,Drift Ventures,Real Estate,large,AU,Australia,Australia/Sydney,lisa.johnson@enterprise.com,2025-03-27,True,,,8.0,False,free,Free,0.0,active,2025-10-06,,monthly,,0,,0,42,1,1,1689.5714285714287,0.7137,41,False,0 tickets,Upsell Candidates
45,JadeLabs,E-commerce,small,GB,United Kingdom,Europe/London,olga.clark@enterprise.com,2024-05-17,True,,,6.0,False,free,Free,0.0,active,2024-05-17,,monthly,,0,,0,50,1,1,1659.7179487179487,0.7207,49,False,0 tickets,Upsell Candidates
46,SagePlatform,Real Estate,small,CA,Canada,America/Toronto,kimberly.king@tech.dev,2024-12-20,True,,,5.0,False,free,Free,0.0,active,2024-12-20,,annual,,0,,0,41,1,1,1647.6666666666667,0.7164,38,False,0 tickets,Upsell Candidates
47,UltraSystems,Insurance,large,US,United States,America/Los_Angeles,richard.wilson@corp.net,2024-06-21,True,,,,False,starter,Starter Plus,19.0,active,2025-02-18,,monthly,,0,,0,29,1,1,1855.2857142857142,0.7208,28,False,0 tickets,Stable Paid
48,SyncPlatform,Education,small,FR,France,Europe/Paris,paul.rodriguez@tech.dev,2025-08-24,False,2025-10-29 13:03:59,Not enough users,0.0,True,enterprise,Enterprise,70.12,cancelled,2025-12-28,,annual,Missing features,0,,0,43,1,1,1719.774193548387,0.7146,40,False,0 tickets,Churned — Low Engagement
49,EchoIO,Finance,small,DE,Germany,Europe/Berlin,kenji.walker@echoio.com,2024-10-06,True,,,9.0,False,free,Free,0.0,active,2024-10-06,,monthly,,2,3.0,0,40,1,1,1939.9666666666667,0.7196,39,False,2-3 tickets,Upsell Candidates
50,Warp Corp,Real Estate,medium,BR,Brazil,America/Sao_Paulo,joseph.singh@enterprise.com,2024-08-25,True,,,8.0,False,free,Free,0.0,active,2025-04-03,,annual,,0,,0,45,1,1,1787.5833333333333,0.7188,43,False,0 tickets,Upsell Candidates
51,WarpSoftware,Education,large,US,United States,America/Chicago,william.thomas@gmail.com,2024-12-06,True,,,5.0,False,starter,Starter Plus,15.83,active,2024-12-06,,annual,,0,,0,51,1,1,1895.4318181818182,0.7296,51,False,0 tickets,Stable Paid
52,Orbit Analytics,Insurance,enterprise,SG,Singapore,Asia/Singapore,emily.nelson@outlook.com,2024-10-25,False,2025-03-07 03:52:26,No longer needed,0.0,True,free,Free,0.0,cancelled,2024-10-25,2025-03-07,annual,Missing features,1,,0,42,2,2,1928.2857142857142,0.7168,38,False,1 ticket,Churned — Low Engagement
53,MistPro,Telecommunications,small,CA,Canada,America/Toronto,linda.robinson@protonmail.com,2024-05-20,True,,,10.0,False,free,Free,0.0,active,2024-12-20,,annual,,0,,0,45,1,1,1789.7714285714285,0.7256,43,False,0 tickets,Upsell Candidates
54,Orbit Ops,Retail,enterprise,BR,Brazil,America/Sao_Paulo,emily.johnson@protonmail.com,2025-02-20,True,,,8.0,False,free,Free,0.0,active,2025-02-20,,monthly,,0,,0,39,1,1,1603.0,0.7285,38,False,0 tickets,Upsell Candidates
55,LunaVentures,Retail,medium,US,United States,America/Chicago,donald.thompson@outlook.com,2023-12-04,True,,,8.0,False,professional,Professional,31.2,active,2024-05-31,,monthly,,0,,0,38,1,1,2047.5185185185185,0.7102,36,False,0 tickets,Stable Paid
56,Flow Works,Education,small,US,United States,America/Chicago,lars.sanchez@gmail.com,2024-07-09,True,,,7.0,False,professional,Professional Plus,59.0,active,2025-03-08,,monthly,,2,4.0,0,30,1,1,1541.32,0.71,30,False,2-3 tickets,Stable Paid
57,OnyxHQ,E-commerce,small,JP,Japan,Asia/Tokyo,david.jackson@onyxhq.com,2024-10-07,True,,,4.0,False,professional,Professional,32.5,active,2024-10-07,,annual,,0,,0,45,1,1,1829.6969696969697,0.7273,41,False,0 tickets,Stable Paid
58,Hub HQ,Healthcare,large,US,United States,America/Los_Angeles,ashley.rivera@startup.co,2025-09-30,True,,,4.0,False,starter,Starter Plus,19.0,active,2025-09-30,,monthly,,2,3.0,1,36,1,1,1835.6296296296296,0.7166,35,False,2-3 tickets,Stable Paid
59,MistDev,Finance,enterprise,US,United States,America/Chicago,sarah.singh@tech.dev,2023-01-03,True,,,8.0,False,starter,Starter,12.0,active,2023-01-03,,monthly,,0,,0,44,1,1,1977.4193548387098,0.7217,42,False,0 tickets,Stable Paid
60,JetHQ,Marketing,small,JP,Japan,Asia/Tokyo,priya.wright@hotmail.com,2023-09-02,True,,,9.0,False,professional,Professional Plus,59.0,active,2024-08-08,,monthly,,0,,0,42,1,1,1802.3030303030303,0.7287,40,False,0 tickets,Stable Paid
61,UltraPro,Telecommunications,enterprise,AU,Australia,Australia/Sydney,matthew.nelson@yahoo.com,2023-02-07,False,2025-09-10 19:31:16,Company closed,,True,free,Free,0.0,cancelled,2023-02-07,2025-09-10,monthly,Switched competitor,0,,0,50,2,2,1762.8095238095239,0.7165,48,False,0 tickets,Churned — Low Engagement
62,GridDev,Technology,large,US,United States,America/Los_Angeles,anthony.adams@protonmail.com,2024-12-10,True,,,6.0,False,starter,Starter Plus,16.15,active,2025-08-24,,monthly,,1,3.0,0,36,1,1,1765.892857142857,0.7239,36,False,1 ticket,Stable Paid
63,UltraStack,Insurance,medium,JP,Japan,Asia/Tokyo,john.flores@protonmail.com,2025-02-03,False,2025-04-12 05:33:23,,,True,professional,Professional,39.0,cancelled,2025-06-29,,monthly,Switched competitor,0,,0,51,2,2,1703.6363636363637,0.7211,50,False,0 tickets,Churned — Low Engagement
64,CoreSolutions,Telecommunications,small,US,United States,America/New_York,charles.muller@coresolutions.com,2024-06-27,True,,,,False,starter,Starter,10.0,active,2024-06-27,,annual,,0,,0,46,1,1,1788.0,0.7284,46,False,0 tickets,Stable Paid
65,Yield Group,Logistics,small,CA,Canada,America/Toronto,emily.martinez@enterprise.com,2023-01-10,True,,,6.0,False,free,Free,0.0,active,2023-01-10,,annual,,0,,0,41,1,1,1883.6571428571428,0.7262,40,False,0 tickets,Upsell Candidates
66,EdgeHQ,Real Estate,small,SG,Singapore,Asia/Singapore,margaret.hall@hotmail.com,2025-05-23,True,,,8.0,False,free,Free,0.0,active,2025-05-23,,monthly,,0,,0,50,1,1,1728.4545454545455,0.7177,50,False,0 tickets,Upsell Candidates
67,Quest Logic,Education,small,BR,Brazil,America/Sao_Paulo,kenji.baker@corp.net,2025-05-02,True,,,9.0,False,free,Free,0.0,active,2025-05-02,,monthly,,1,1.0,0,49,2,2,1683.078947368421,0.722,47,False,1 ticket,Upsell Candidates
68,Quark Ops,Insurance,large,SG,Singapore,Asia/Singapore,fatima.santos@gmail.com,2024-03-27,False,2025-02-03 09:30:22,,8.0,True,enterprise,Enterprise,82.5,cancelled,2024-03-27,2025-02-03,annual,Budget cuts,0,,0,43,1,1,2042.3030303030303,0.7263,43,False,0 tickets,Churned — Low Engagement
69,Ion Dynamics,Telecommunications,small,JP,Japan,Asia/Tokyo,steven.moore@enterprise.com,2023-10-30,True,,,3.0,False,free,Free,0.0,active,2023-10-30,,annual,,0,,0,44,1,1,2000.0555555555557,0.7217,42,False,0 tickets,Upsell Candidates
70,JetHub,Retail,large,FR,France,Europe/Paris,fatima.sanchez@jethub.com,2024-02-09,False,2025-04-30 18:25:58,Switched to competitor,5.0,True,professional,Professional,39.0,cancelled,2024-12-20,2025-04-30,monthly,Company reorganization,0,,0,44,1,1,1673.2058823529412,0.7268,42,False,0 tickets,Churned — Low Engagement
71,LinkLogic,Marketing,small,SG,Singapore,Asia/Singapore,joseph.walker@tech.dev,2024-09-16,True,,,9.0,False,enterprise,Enterprise Custom,199.0,active,2025-08-02,,monthly,,0,,0,35,1,1,1944.5172413793102,0.7288,34,False,0 tickets,Champions
72,Cloud AI,Education,medium,US,United States,America/Chicago,michael.thomas@enterprise.com,2025-08-30,True,,,,False,starter,Starter,12.0,active,2025-10-30,,monthly,,4,4.0,0,46,1,1,2031.4358974358975,0.7235,45,True,4-6 tickets,At-Risk Paid
73,LinkPro,Telecommunications,medium,SG,Singapore,Asia/Singapore,michael.santos@linkpro.com,2024-01-15,True,,,5.0,False,starter,Starter,9.6,active,2024-01-15,,monthly,,0,,0,37,1,1,1647.2857142857142,0.7274,36,False,0 tickets,Stable Paid
74,GridOps,Telecommunications,large,IN,India,Asia/Kolkata,patricia.sanchez@gridops.com,2023-08-06,True,,,1.0,False,starter,Starter Plus,15.83,active,2023-08-06,,annual,,0,,0,44,1,1,2054.948717948718,0.7252,42,False,0 tickets,Stable Paid
75,NovaTech,Media,small,BR,Brazil,America/Sao_Paulo,susan.ivanov@yahoo.com,2024-09-02,False,2025-01-22 09:10:45,No longer needed,6.0,True,free,Free,0.0,cancelled,2024-09-02,2025-01-22,monthly,Missing features,2,3.0,0,30,1,1,1552.3,0.728,30,False,2-3 tickets,Churned — Low Engagement
76,Wave Platform,Real Estate,small,US,United States,America/New_York,barbara.taylor@waveplatform.com,2023-03-07,True,,,,False,starter,Starter,10.0,active,2023-10-21,,annual,,0,,0,35,1,1,2029.96,0.7297,35,False,0 tickets,Stable Paid
77,Nexus AI,Legal,enterprise,SG,Singapore,Asia/Singapore,dorothy.martin@gmail.com,2025-05-17,True,,,,False,professional,Professional,39.0,active,2025-08-02,,monthly,,0,,0,46,2,1,2146.757575757576,0.7288,43,False,0 tickets,Stable Paid
78,Rush Group,Logistics,medium,JP,Japan,Asia/Tokyo,yuki.lee@protonmail.com,2024-09-11,True,,,,False,professional,Professional Plus,59.0,active,2024-09-11,,monthly,,0,,0,41,1,1,1885.0294117647059,0.7048,41,False,0 tickets,Stable Paid
79,PeakStack,Media,large,GB,United Kingdom,Europe/London,margaret.lewis@enterprise.com,2025-01-17,False,2025-07-31 17:43:43,Company closed,,True,professional,Professional,32.5,cancelled,2025-01-17,2025-07-31,annual,Company reorganization,0,,0,41,1,1,1821.25,0.7183,41,False,0 tickets,Churned — Low Engagement
80,JetOps,Healthcare,small,US,United States,America/Chicago,jennifer.ramirez@yahoo.com,2024-08-23,True,,,8.0,False,professional,Professional Plus,59.0,active,2024-08-23,,monthly,,1,,0,60,2,2,1971.090909090909,0.724,56,False,1 ticket,Stable Paid
81,WaveOps,Manufacturing,enterprise,FR,France,Europe/Paris,patricia.jackson@corp.net,2023-06-08,True,,,3.0,False,professional,Professional Plus,47.2,active,2023-12-15,,monthly,,0,,0,43,1,1,1715.060606060606,0.6967,42,False,0 tickets,Stable Paid
82,Orbit Corp,Retail,medium,BR,Brazil,America/Sao_Paulo,donna.baker+test@orbitcorp.com,2023-10-07,True,,,6.0,False,professional,Professional,39.0,active,2023-10-07,,monthly,,0,,0,44,1,1,1538.9714285714285,0.704,42,False,0 tickets,Stable Paid
83,LunaDigital,Manufacturing,small,US,United States,America/Los_Angeles,ahmed.green@tech.dev,2024-03-05,True,,,6.0,False,free,Free,0.0,active,2024-03-05,,monthly,,0,,0,48,1,1,1796.275,0.7281,46,False,0 tickets,Upsell Candidates
84,ZealVentures,Telecommunications,small,US,United States,America/Los_Angeles,william.kim@protonmail.com,2024-03-10,True,,,6.0,False,free,Free,0.0,active,2024-03-10,,monthly,,1,,0,37,1,1,2049.6666666666665,0.7279,36,False,1 ticket,Upsell Candidates
85,Rift Ops,Real Estate,medium,JP,Japan,Asia/Tokyo,wei.martin@riftops.com,2023-07-29,True,,,4.0,False,free,Free,0.0,active,2023-07-29,,monthly,,0,,0,41,2,2,1869.04,0.723,39,False,0 tickets,Upsell Candidates
86,Flux Pro,Manufacturing,small,US,United States,America/Los_Angeles,matthew.wright@fluxpro.com,2025-06-01,True,,,7.0,False,professional,Professional,35.1,active,2025-06-01,,monthly,,2,3.0,0,50,1,1,1746.5,0.7188,50,False,2-3 tickets,Stable Paid
87,UltraVentures,Manufacturing,large,SG,Singapore,Asia/Singapore,anthony.jackson+nimbus@yahoo.com,2024-09-24,True,,,,False,starter,Starter,12.0,active,2025-08-02,,monthly,,0,,0,40,1,1,1549.3870967741937,0.7236,40,False,0 tickets,Stable Paid
88,FlowCorp,E-commerce,medium,BR,Brazil,America/Sao_Paulo,betty.king@company.io,2025-03-08,False,2025-10-22 06:02:56,,3.0,True,free,Free,0.0,cancelled,2025-03-08,2025-10-22,annual,Not using it,0,,0,23,1,1,1858.7894736842106,0.7279,23,False,0 tickets,Churned — Low Engagement
89,WavePro,Logistics,enterprise,US,United States,America/Los_Angeles,jessica.miller@corp.net,2025-02-16,True,,,9.0,False,enterprise,Enterprise,61.88,active,2025-02-16,,annual,,1,2.0,0,37,1,1,2036.5757575757575,0.7128,36,False,1 ticket,Stable Paid
90,DriftHub,Real Estate,medium,SG,Singapore,Asia/Singapore,andrew.adams@company.io,2023-03-11,True,,,,False,starter,Starter Plus,19.0,active,2023-03-11,,monthly,,0,,0,42,1,1,2314.757575757576,0.7296,41,False,0 tickets,Stable Paid
91,LinkAI,Healthcare,small,CA,Canada,America/Toronto,mark.williams@outlook.com,2025-09-27,True,,,,False,starter,Starter Plus,19.0,active,2025-11-27,,monthly,,1,,0,32,1,1,1609.8148148148148,0.7278,32,False,1 ticket,Stable Paid
92,DriftVentures,Insurance,large,US,United States,America/New_York,mark.tanaka@corp.net,2023-06-04,True,,,9.0,False,free,Free,0.0,active,2023-09-26,,annual,,0,,0,34,1,1,1918.1538461538462,0.7264,33,False,0 tickets,Upsell Candidates
93,TrekTech,Finance,small,GB,United Kingdom,Europe/London,yuki.lewis@corp.net,2024-01-17,True,,,9.0,False,professional,Professional,39.0,active,2024-01-17,,monthly,,0,,0,46,1,1,1942.1714285714286,0.7183,46,False,0 tickets,Stable Paid
94,OnyxStack,Marketing,small,JP,Japan,Asia/Tokyo,fatima.harris@corp.net,2023-12-08,False,2025-06-05 10:37:34,No longer needed,,True,free,Free,0.0,cancelled,2023-12-08,2025-06-05,monthly,,0,,0,41,1,1,1882.9714285714285,0.7288,39,False,0 tickets,Churned — Low Engagement
95,PeakNet,Finance,medium,FR,France,Europe/Paris,jennifer.martin@company.io,2024-11-17,True,,,,False,professional,Professional Plus,49.17,active,2025-10-20,,annual,,0,,0,43,2,2,2117.1785714285716,0.7282,41,False,0 tickets,Stable Paid
96,PeakOps,Marketing,small,IN,India,Asia/Kolkata,karen.lopez@enterprise.com,2023-05-21,False,2024-09-21 11:55:43,,6.0,True,enterprise,Enterprise,99.0,cancelled,2024-05-12,2024-09-21,monthly,Switched competitor,1,,0,45,1,1,2007.9714285714285,0.7294,45,False,1 ticket,Churned — Low Engagement
97,QuestWorks,Real Estate,small,BR,Brazil,America/Sao_Paulo,matthew.martinez@corp.net,2023-06-19,True,,,7.0,False,starter,Starter,10.8,active,2023-06-19,,monthly,,0,,0,36,1,1,1958.0714285714287,0.7293,36,False,0 tickets,Stable Paid
98,Vine HQ,E-commerce,medium,GB,United Kingdom,Europe/London,karen.tanaka@hotmail.com,2025-08-27,True,,,9.0,False,starter,Starter Plus,15.83,active,2025-10-30,,annual,,1,,0,41,1,1,1865.4117647058824,0.7211,38,False,1 ticket,Stable Paid
99,GlowDev,Finance,enterprise,GB,United Kingdom,Europe/London,hassan.hill@enterprise.com,2024-07-21,True,,,,False,starter,Starter Plus,19.0,active,2025-03-17,,monthly,,0,,0,39,1,1,1427.8064516129032,0.6978,38,False,0 tickets,Stable Paid
100,SyncTech,Education,medium,JP,Japan,Asia/Tokyo,elizabeth.santos@hotmail.com,2025-06-24,True,,,2.0,False,starter,Starter,12.0,active,2025-06-24,,monthly,,2,4.0,0,46,1,1,1802.7941176470588,0.7285,45,False,2-3 tickets,Stable Paid
101,PulseLogic,Marketing,small,US,United States,America/New_York,charles.miller@pulselogic.com,2023-10-21,True,,,9.0,False,free,Free,0.0,active,2023-10-21,,annual,,1,5.0,0,50,1,1,1590.909090909091,0.7161,50,False,1 ticket,Upsell Candidates
